01654610_1,PROFIT_OR_LOSS,AGL
01654610_2,FINANCIAL_POSITION,AGL
01654610_3,CHANGES_IN_EQUITY,AGL
01654610_4,CASH_FLOWS,AGL
01772045_1,PROFIT_OR_LOSS,AGL
01772045_2,FINANCIAL_POSITION,AGL
01772045_3,CHANGES_IN_EQUITY,AGL
01772045_4,CHANGES_IN_EQUITY,AGL
01772045_5,CASH_FLOWS,AGL
01888225_1,PROFIT_OR_LOSS,AGL
01888225_2,FINANCIAL_POSITION,AGL
01888225_3,CHANGES_IN_EQUITY,AGL
01888225_4,CASH_FLOWS,AGL
01335759_1,PROFIT_OR_LOSS,APA
01335759_2,FINANCIAL_POSITION,APA
01335759_3,CHANGES_IN_EQUITY,APA
01335759_4,CASH_FLOWS,APA
00992279_1,PROFIT_OR_LOSS,APA
00992279_2,FINANCIAL_POSITION,APA
00992279_3,CHANGES_IN_EQUITY,APA
00992279_4,CASH_FLOWS,APA
01221436_1,PROFIT_OR_LOSS,APA
01221436_2,FINANCIAL_POSITION,APA
01221436_3,CHANGES_IN_EQUITY,APA
01221436_4,CASH_FLOWS,APA
01101541_1,PROFIT_OR_LOSS,APA
01101541_2,FINANCIAL_POSITION,APA
01101541_3,CHANGES_IN_EQUITY,APA
01101541_4,CASH_FLOWS,APA
01445667_1,PROFIT_OR_LOSS,APA
01445667_2,FINANCIAL_POSITION,APA
01445667_3,CHANGES_IN_EQUITY,APA
01445667_4,CASH_FLOWS,APA
01443569_1,PROFIT_OR_LOSS,CSL
01443569_2,FINANCIAL_POSITION,CSL
01443569_3,CHANGES_IN_EQUITY,CSL
01443569_4,CASH_FLOWS,CSL
00987189_1,PROFIT_OR_LOSS,CSL
00987189_2,FINANCIAL_POSITION,CSL
00987189_3,CASH_FLOWS,CSL
01096917_1,PROFIT_OR_LOSS,CSL
01096917_2,FINANCIAL_POSITION,CSL
01096917_3,CHANGES_IN_EQUITY,CSL
01096917_4,CHANGES_IN_EQUITY,CSL
01096917_5,CASH_FLOWS,CSL
01218676_1,PROFIT_OR_LOSS,CSL
01218676_2,FINANCIAL_POSITION,CSL
01218676_3,CHANGES_IN_EQUITY,CSL
01218676_4,CASH_FLOWS,CSL
01333323_1,PROFIT_OR_LOSS,CSL
01333323_2,FINANCIAL_POSITION,CSL
01333323_3,CHANGES_IN_EQUITY,CSL
01333323_4,CHANGES_IN_EQUITY,CSL
01333323_5,CASH_FLOWS,CSL
01649007_1,FINANCIAL_POSITION,RMD
01649007_2,PROFIT_OR_LOSS,RMD
01649007_3,CHANGES_IN_EQUITY,RMD
01649007_4,CASH_FLOWS,RMD
00996787_1,FINANCIAL_POSITION,RMD
00996787_2,PROFIT_OR_LOSS,RMD
00996787_3,CHANGES_IN_EQUITY,RMD
00996787_4,CASH_FLOWS,RMD
00980156_1,FINANCIAL_POSITION,RMD
00980156_2,PROFIT_OR_LOSS,RMD
00980156_3,CHANGES_IN_EQUITY,RMD
00980156_4,CASH_FLOWS,RMD
01541404_1,FINANCIAL_POSITION,RMD
01541404_2,PROFIT_OR_LOSS,RMD
01541404_3,CHANGES_IN_EQUITY,RMD
01541404_4,CASH_FLOWS,RMD
01433565_1,FINANCIAL_POSITION,RMD
01433565_2,PROFIT_OR_LOSS,RMD
01433565_3,CHANGES_IN_EQUITY,RMD
01433565_4,CASH_FLOWS,RMD
